era_code,doi,author,journal,n_rows_raw
DK0136,10.1016/j.agee.2017.09.023,Negassa,AGR ECOSYST ENVIRON,66
DK0137,10.1016/j.agwat.2016.10.012,Assefa,AGR WATER MANAGE,12
DK0151,10.1007/s11368-017-1901-3,Melaku,Journal of Soils and Sediments,4
DM0006,10.5539/jas.v7n4p80,Silwana,J FOOD AGRIC ENVIRON,10
DM0016,10.1002/csc2.20862,Tehulie,CROP SCI,120
EO0016,10.1002/ldr.2603,Grum,LAND DEGRAD DEV,12
EO0032,0.1007/s11250-014-0582-9,Balehegn,Tropical Animal Health and Production,21
EO0037,10.1080/02723646.2016.1251734,Guteta,PROG PHYS GEOG,6
EO0041,www.lrrd.org/lrrd25/6/meka25104.htm,Mekasha,Livestock Research for Rural Development,23
EO0043,10.1080/02723646.2017.1302869,Sultan,PROG PHYS GEOG,6
EO0057,li01.tci-thaijo.org/index.php/anres/article/view/243030,Berhanu,Agriculture and Natural Resources,6
EO0059,www.lrrd.org/lrrd27/6/befe27114.html,Befekadu,LIVESTOCKÂ RESÂ RURALÂ DEVÂ,2
EO0061,10.1002/ldr.3109,Subhatu,LAND DEGRAD DEV,1
EO0066,10.1002/ldr.2261,Gelaw,J SCI FOOD AGR,4
EO0074,www.lrrd.org/lrrd29/4/atta29077.html,Gelgelo,Livestock Research for Rural Development,30
EO0077,10.1080/03650340.2013.878456,Minta,ARCH ACKER PFL BODEN,40
EO0078,www.lrrd.org/lrrd27/9/kida27180.html,Hintsa,Livestock Research for Rural Development,8
EO0095,10.1111/agec.12251,Jaleta,AGR ECON,4
EO0140,10.1016/j.serj.2017.09.003,Mamuye,Sustainable Environment Research,10
EO0142,10.1016/j.esd.2018.06.009,Benka,ENERGY SUSTAIN DEV,6
EO0147,10.1016/j.agwat.2016.09.002,Haileselassie,AGR WATER MANAGE,176
JO0002,10.1016/j.jafr.2022.100301,Wakwoya,Journal of Animal and Food Research,30
JO0011,10.1016/j.eja.2006.05.002,Agegnehu,EUR J AGRON,10
JO0013,10.1007/s10457-023-00807-5,Etafa,AGROFOREST SYST,18
JO0027,10.1007/s10457-018-0304-9,Dilla,AGROFOREST SYST,24
JO0037,10.1017/S0014479713000434,Worku,EXP AGR,28
JO0072,10.1016/j.foreco.2007.01.021,Muleta,FOREST ECOL MANAG,26
JO0089,10.1155/2019/6167384,Endris,INT J AGRON,131
JO0094,10.1155/2020/8853552,Elka,APPL ENVIRON SOIL SCI,139
JO0095,10.1007/s13199-017-0529-9,Samago,SYMBIOSIS,12
JO0101,10.1080/23311932.2021.1921951,Gebremedhin,CONGENT FOOD AGRIC,76
JO0102,10.1155/2023/7123826,Tufa,INT J AGRON,96
JO0104,10.1155/2022/8730191,Hunegnaw,INT J AGRON,58
JO0109,10.1016/j.eja.2020.126228,Kenea,EUR J AGRON,48
JO0114,10.1017/S0014479722000114,Chala,EXP AGR,420
JO0115,10.1080/23311932.2022.2097606,Kitila,CONGENT FOOD AGRIC,44
JO0119,10.5586/aa.1781,Mekonnen,ACTA AGROBOT,100
JO0122,10.5958/2229-4473.2018.00020.4,Gebremariam,VEGETOS,27
JO0123,10.1080/23311932.2019.1600461,Berhe,CONGENT FOOD AGRIC,39
JO0125,10.1007/s10457-021-00612-y,Mekonnen M.,AGROFOREST SYST,25
JO0126,10.18805/IJARe.A-285,Daba,INDIAN J AGRIC RES,6
JO0129,10.1017/S001447971800039X,Gebru,EXP AGR,72
JO0133,10.1002/agj2.20020,Liben,AGRON J,68
JO0137,10.1038/s41598-018-27762-x,Gebretsadik,Scientific Report,207
JO0138,10.1155/2022/2108401,Gelaye,SCI WORLD J,39
JO0149,10.1155/2022/4655590,Tadesse,ADV AGRIC,384
JO0152,10.1002/ldr.3816,Araya,LAND DEGRAD DEV,14
JO0156,10.1016/j.cropro.2022.105930,Bitew,CROP PROT,100
JO0175,10.1080/23311932.2020.1762979,Birhanu,CONGENT FOOD AGRIC,70
JO0176,10.1155/2022/7874717,Tesfaye,ADV AGRIC,28
JO0200,10.1007/s40899-018-0250-8,Welde,Sustainable Water Resource Mnagement,12
JS0225,10.1016/j.still.2008.09.013,Rockstrom J,SOIL TILL RES,28
JS0238,10.1007/s11250-008-9227-1,Abate D,TROP ANIM HEALTH PRO,12
JS0239,10.1017/S0308229600019401,Aboud AAO,P BRIT SOC ANIM PROD,5
JS0241,10.1016/j.agwat.2012.10.026,Adgo E,AGR WATER MANAGE,24
JS0242,10.1300/J064v26n02_04,Alemu G,J SUSTAIN AGR,145
JS0243,10.1007/s11250-009-9466-9,Alemu,Tropical Animal Health and Production,15
JS0244,10.1007/s003740000258,Amanuel G,BIOL FERT SOILS,12
JS0245,10.1017/s0014479710000803,Amede,EXP AGR,78
JS0246,10.1016/j.agwat.2010.01.012,Araya A,AGR WATER MANAGE,67
JS0247,10.1111/j.1475-2743.2011.00347.x,Araya T,SOIL USE MANAGE,12
JS0248,10.1016/j.fcr.2011.12.009,Araya,FIELD CROP RES,48
JS0249,10.1007/s11250-010-9591-5,Asmare,Tropical Animal Health and Production,9
JS0250,10.1016/0378-3774(91)90015-b,Astatke A,AGR WATER MANAGE,24
JS0251,10.1016/0378-3774(95)01131-2,Astatke A,AGR WATER MANAGE,72
JS0252,10.1016/s0378-3774(98)00029-8,Astatke A,AGR WATER MANAGE,73
JS0253,10.1016/s0167-8809(02)00225-6,Astatke A,AGR ECOSYST ENVIRON,18
JS0254,10.1017/s0014479704002029,Astatke A,EXP AGR,3
JS0256,10.4067/s0718-95162012005000007,Balemi T,J SOIL SCI PLANT NUT,96
JS0257,10.1007/bf00750570,Bekele T,FERT RES,72
JS0258,10.1016/j.agwat.2007.01.002,Bekele S,AGR WATER MANAGE,12
JS0260,10.1080/02571862.1998.10635130,Belay,S AFR J PLANT SOIL,168
JS0261,10.1007/s11250-008-9281-8,Betsha,Tropical Animal Health and Production,3
JS0262,10.1007/s11250-008-9138-1,Bishaw,Tropical Animal Health and Production,12
JS0263,10.1017/S0003356100007728,Bonsi,Animal Science,6
JS0265,10.1007/bf00712077,Bonsi,Agroforestry Systems,10
JS0268,10.2134/agronj2005-0148,Brhane G,AGRON J,36
JS0269,10.2307/4002969,Coppock DL,J RANGE MANAGE,12
JS0269.1,10.2307/4002969,Coppock,Journal of Range Management,12
JS0269.2,10.2307/4002969,Coppock,Journal of Range Management,4
JS0270,10.2307/4003682,Coppock,Journal of Range Management Archives,16
JS0271,10.1016/S0301-6226(00)00154-8,Dana,Livestock Production Science,12
JS0272,10.1016/j.anifeedsci.2008.03.014,Degu,Animal Feed Science and Technology,18
JS0273,10.1007/s11250-009-9496-3,Dessie,Tropical Animal Health and Production,9
JS0274.1,10.1079/sum2005319,Erkossa,SOIL USE MANAGE,36
JS0274.2,10.1016/j.still.2005.01.009,Erkossa,SOIL USE MANAGE,12
JS0275,10.1016/j.agwat.2009.07.004,Gadissa T,AGR WATER MANAGE,4
JS0276,10.1007/s11250-011-9927-9,Gebregiorgis,Tropical Animal Health and Production,5
JS0278,https://www.jarts.info/index.php/jarts/article/view/21/18,Gebrekidan,J AGR RURAL DEV TROP,28
JS0279,https://link.springer.com/article/10.1023/A:1009721411173,Gebrekidan,NUTR CYCL AGROECOSYS,44
JS0281,10.1016/0377-8401(94)90068-x,Getachew,Animal Feed Science and Technology,6
JS0283,10.1080/00103629509369391,Girma,COMMUN SOIL SCI PLAN,6
JS0284,10.1007/s10705-006-9028-8,Habtegebrial K,NUTR CYCL AGROECOSYS,126
JS0285,10.1007/s11250-008-9230-6,Hagos,Tropical Animal Health and Production,18
JS0286,,Hailu S,AFR J BIOTECHNOL,11
JS0287,10.1080/01904169809365540,Haque I,J PLANT NUTR,22
JS0289,10.1016/s0301-6226(97)00152-8,Kaitho RJ,LIVEST PROD SC,8
JS0289.1,10.1016/s0301-6226(97)00152-8,Kaitho,Livestock Production Science,8
JS0289.2,10.1016/s0301-6226(97)00152-8,Kaitho,Livestock Production Science,8
JS0291,10.1016/s0377-8401(97)00159-4,Kaitho,Animal Feed Science and Technology,16
JS0293,10.1007/s11250-014-0725-z,Diba,Tropical Animal Health and Production,9
JS0301,10.1186/s40066-018-0182-4,Mekuriaw,Agriculture and Food Security,12
JS0316,10.1007/s11250-013-0413-4,Bekele,Tropical Animal Health and Production,15
JS0374,10.1111/aje.12185,Habtemicael,African Journal of Ecology,12
JS0401,10.1007/s10705-013-9570-0,Demessie A,NUTR CYCL AGROECOSYS,35
JS0404,10.1016/0167-8809(95)00648-6,Haque I,AGR ECOSYST ENVIRON,10
LM0292,10.1016/j.livsci.2013.06.024,Alemayehu M,LIVEST SCI,16
LM0295,10.1007/s11250-014-0615-4,Yasin,Tropical Animal Health and Production,48
LM0297,10.1007/s11250-012-0227-9,Tesfay,Tropical Animal Health and Production,12
LM0298,10.1007/s11250-015-0901-9,Tefera,Tropical Animal Health and Production,24
LM0299,10.1016/j.smallrumres.2013.07.003,Tsegay,Small Ruminant Research,28
LM0303,10.1016/j.agrformet.2017.10.013,Sida TS,AGR FOREST METEOROL,15
LM0304,10.1007/s11676-014-0483-9,Tadele D,FERT RES,4
LM0305,10.1080/02723646.2013.832098,Taye G,PROG PHYS GEOG,15
NJ0008,10.1007/s11250-016-1031-8,Asmare,Tropical Animal Health and Production,12
NJ0029,www.researchgate.net/publication/260980852_Soil_test_Phosphorus_calibration_for_malting_barley_Hordeum_vulgare_L_production_on_Nitisols_of_Ethiopian_highlands/link/54c89f5c0cf289f0ced08386/download,Agegnehu,TROP AGR,22
NJ0032,10.1007/s11250-018-1577-8,Hintsa,Tropical Animal Health and Production,20
NJ0044,10.1007/s11250-018-1544-4,Negewo,Tropical Animal Health and Production,27
NJ0075,10.1080/03235408.2018.1482648,Sahile,ARCH PHYTOPATHOL PFL,9
NJ0098,10.1111/1477-9552.12221,Kassie,J AGR ECON,94
NJ0117,10.1017/s001447971400060x,Araya,EXP AGR,33
NJ0128,10.1007/s10705-014-9609-x,Nebiyu,NUTR CYCL AGROECOSYS,8
NJ0133,10.1007/s12665-018-7528-x,Mesfin,ENVIRON EARTH SCI,12
NJ0146,10.1016/j.reseneeco.2018.01.006,Gebreegziabher,RESOUR ENERGY ECON,3
